id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,apiname__c,classname__c,daoname__c,servicename__c,
a8i6C0000004CWDQA2,false,RKStore:DynTheme,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:DynThemeApi,cc_hlpr_DynamicThemeHKFactory,RKStore:DynThemeDao,RKStore:DynThemeService,
a8i6C0000004CWEQA2,false,RKStore:ProductSyncFactory,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:ProductSyncAPI,cc_svc_ProductSyncFactory,,RKStore:ProductSyncService,
a8i6C0000004CWFQA2,false,RKStore:PrdQtyRl,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,prodQtyRuleAPI,cc_hlpr_ProdQtyRuleFactory,,,
a8i6C0000004CWGQA2,false,RKStore:SUBS,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:SUBSApi,cc_hlpr_SubscriptionsHKFactory,,,
a8i6C0000004CWHQA2,false,RKStore:PriceAdjustment,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:adjustApi,cc_hlpr_PriceAdjustmentSvcFactory,RKStore:adjustDao,RKStore:adjustService,
a8i6C0000004CWIQA2,false,RKStore:Shipping,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:shipApi,cc_hlpr_ShippingAndHandlingSvcFactory,RKStore:shipDao,RKStore:shipService,
a8i6C0000004CWJQA2,false,RKStore:CartExtension,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:CartExtensionApi,cc_hlpr_CartExtensionApiFactory,,,
a8i6C0000004CWKQA2,false,RKStore:InventoryExtension,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:InventoryApi,cc_hlpr_InventoryExtensionFactory,,,
a8i6C0000004CWLQA2,false,RKStore:TaxCalculation,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:TaxCalculationApi,cc_hlpr_TaxCalculationHkFactory,,,
a8i6C0000004CWMQA2,false,RKStore:PricingSync,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:PricingSyncApi,,RKStore:PricingSyncDao,RKStore:PricingSyncService,
a8i6C0000004CWNQA2,false,RKStore:OutOrderCancel,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:OutOrderCancelApi,cc_hlpr_OutOrderCancelFactory,,,
a8i6C0000004CWOQA2,false,RKStore:OutboundOrder,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:outOrderApi,cc_hlpr_OutboundOrderSvcFactory,RKStore:outOrderDao,RKStore:outOrderService,
a8i6C0000004CWPQA2,false,RKStore:DeliveryDate,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:DeliveryDateApi,cc_hlpr_DeliveryDateFactory,,,
a8i6C0000004CWQQA2,false,RKStore:OrderHK,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:OrderHKApi,cc_hlpr_GenericHKFactory,RKStore:OrderHKDao,RKStore:OrderHKService,
a8i6C0000004CWRQA2,false,RKStore:DynCat,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:DynCatApi,cc_hlpr_GenericHKFactory,RKStore:DynCatDao,RKStore:DynCatService,
a8i6C0000004CWSQA2,false,RKStore:DynMenu,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:DynMenuApi,cc_hlpr_GenericHKFactory,RKStore:DynMenuDao,RKStore:DynMenuService,
a8i6C0000004CWTQA2,false,RKStore:UsrItf,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:UsrItfApi,cc_hlpr_GenericHKFactory,RKStore:UsrItfDao,RKStore:UsrItfService,
a8i6C0000004CWUQA2,false,RKStore:EffAccount,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:EffAccountApi,cc_hlpr_GenericHKFactory,RKStore:EffAccountDao,RKStore:EffAccountService,
a8i6C0000004CW8QAM,false,RKStore:InvcHK,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:InvcHKApi,cc_hlpr_GenericHKFactory,RKStore:InvcHKDao,RKStore:InvcHKService,
a8i6C0000004CW9QAM,false,RKStore:Catalog,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:CatalogApi,cc_hlpr_GenericHKFactory,RKStore:CatalogDao,RKStore:CatalogService,
a8i6C0000004CWAQA2,false,RKStore:PymtHK,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:PymtHKApi,cc_hlpr_GenericHKFactory,RKStore:PymtHKDao,RKStore:PymtHKService,
a8i6C0000004CWBQA2,false,RKStore:Pricing,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:PricingApi,cc_hlpr_GenericHKFactory,RKStore:PricingDao,RKStore:PricingService,
a8i6C0000004CWCQA2,false,RKStore:SSOLogin,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,RKStore:SSOLoginApi,cc_hlpr_SSOHkFactory,RKStore:SSOLoginDao,RKStore:SSOLoginService,
a8i6C0000004ChxQAE,false,ControlsStore:DynTheme,USD,00D6C0000000cYAUAY,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,,,ControlsStore:DynThemeApi,cc_hlpr_DynamicThemeHKFactory,ControlsStore:DynThemeDao,ControlsStore:DynThemeService,
a8i6C0000004ChyQAE,false,ControlsStore:ProductSyncFactory,USD,00D6C0000000cYAUAY,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,,,ControlsStore:ProductSyncAPI,cc_svc_ProductSyncFactory,,ControlsStore:ProductSyncService,
a8i6C0000004ChzQAE,false,ControlsStore:PrdQtyRl,USD,00D6C0000000cYAUAY,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,,,prodQtyRuleAPI,cc_hlpr_ProdQtyRuleFactory,,,
a8i6C0000004Ci0QAE,false,ControlsStore:SUBS,USD,00D6C0000000cYAUAY,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,,,ControlsStore:SUBSApi,cc_hlpr_SubscriptionsHKFactory,,,
a8i6C0000004Ci1QAE,false,ControlsStore:PriceAdjustment,USD,00D6C0000000cYAUAY,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,,,ControlsStore:adjustApi,cc_hlpr_PriceAdjustmentSvcFactory,ControlsStore:adjustDao,ControlsStore:adjustService,
a8i6C0000004Ci2QAE,false,ControlsStore:Shipping,USD,00D6C0000000cYAUAY,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,,,ControlsStore:shipApi,cc_hlpr_ShippingAndHandlingSvcFactory,ControlsStore:shipDao,ControlsStore:shipService,
a8i6C0000004Ci3QAE,false,ControlsStore:CartExtension,USD,00D6C0000000cYAUAY,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,,,ControlsStore:CartExtensionApi,cc_hlpr_CartExtensionApiFactory,,,
a8i6C0000004Ci4QAE,false,ControlsStore:InventoryExtension,USD,00D6C0000000cYAUAY,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,,,ControlsStore:InventoryApi,cc_hlpr_InventoryExtensionFactory,,,
a8i6C0000004Ci5QAE,false,ControlsStore:TaxCalculation,USD,00D6C0000000cYAUAY,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,,,ControlsStore:TaxCalculationApi,cc_hlpr_TaxCalculationHkFactory,,,
a8i6C0000004Ci6QAE,false,ControlsStore:PricingSync,USD,00D6C0000000cYAUAY,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,,,ControlsStore:PricingSyncApi,,ControlsStore:PricingSyncDao,ControlsStore:PricingSyncService,
a8i6C0000004Ci7QAE,false,ControlsStore:OutOrderCancel,USD,00D6C0000000cYAUAY,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,0056C000000NfjOQAS,2017-01-31 15:49:02,,,ControlsStore:OutOrderCancelApi,cc_hlpr_OutOrderCancelFactory,,,
