id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,browserlocale__c,countrycode__c,currency__c,
a8s6C0000004CD9QAM,false,ar_YE,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,YE,YER,
a8s6C0000004CDAQA2,false,lg,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,GH,GHC,
a8s6C0000004CDBQA2,false,mn_MN,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,MN,MNT,
a8s6C0000004CDCQA2,false,ch,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,ch,KM,KMF,
a8s6C0000004CDDQA2,false,es_DO,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,es,DO,DOP,
a8s6C0000004CDEQA2,false,sl_SI,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,SI,SIT,
a8s6C0000004CDFQA2,false,zh,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,CN,RMB,
a8s6C0000004CDGQA2,false,es_VE,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,es,VE,VEB,
a8s6C0000004CDHQA2,false,kk_KZ,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,KZ,KZT,
a8s6C0000004CDIQA2,false,en_US,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,US,USD,
a8s6C0000004CDJQA2,false,es_EC,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,es,EC,USD,
a8s6C0000004CDKQA2,false,bg_BG,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,BG,BGN,
a8s6C0000004CDLQA2,false,ru_RU,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,RU,RUB,
a8s6C0000004CDMQA2,false,div_MV,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,MV,MVR,
a8s6C0000004CDNQA2,false,ar_OM,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,OM,OMR,
a8s6C0000004CDOQA2,false,he_IL,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,IL,ILS,
a8s6C0000004CDPQA2,false,en_AU,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,AU,AUD,
a8s6C0000004CDQQA2,false,es_NI,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,es,NI,NIO,
a8s6C0000004CDRQA2,false,en_CA,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,CA,CAD,
a8s6C0000004CDSQA2,false,it,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,it,IT,EUR,
a8s6C0000004CDTQA2,false,ko_KR,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,KR,KRW,
a8s6C0000004CDUQA2,false,hr_HR,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,HR,HRK,
a8s6C0000004CDVQA2,false,de_DE,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,de,DE,EUR,
a8s6C0000004CDWQA2,false,ar_EG,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,EG,EGP,
a8s6C0000004CDXQA2,false,fr_FR,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,fr,FR,EUR,
a8s6C0000004CDYQA2,false,es_MX,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,es,MX,MXN,
a8s6C0000004CDZQA2,false,ka_GE,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,GE,GEL,
a8s6C0000004CDaQAM,false,es_UY,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,es,UY,UYU,
a8s6C0000004CDbQAM,false,en_BZ,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,BZ,BZD,
a8s6C0000004CDcQAM,false,nl_NL,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,NL,EUR,
a8s6C0000004CDdQAM,false,es_PE,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,es,PE,PEN,
a8s6C0000004CDeQAM,false,es_HN,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,es,HN,HNL,
a8s6C0000004CDfQAM,false,es_PA,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,es,PA,PAB,
a8s6C0000004CDgQAM,false,ro_RO,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,RO,ROL,
a8s6C0000004CDhQAM,false,pt_PT,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,pt_PT,PT,EUR,
a8s6C0000004CDiQAM,false,en_GB,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,GB,GBP,
a8s6C0000004CDjQAM,false,Ky_KG,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,KG,KGS,
a8s6C0000004CDkQAM,false,en_NZ,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,NZ,NZD,
a8s6C0000004CDlQAM,false,fr_MC,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,fr,MC,EUR,
a8s6C0000004CDmQAM,false,es_PY,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,es,PY,PYG,
a8s6C0000004CDnQAM,false,ar_DZ,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,DZ,DZD,
a8s6C0000004CDoQAM,false,ja,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,ja,JP,JPY,
a8s6C0000004CDpQAM,false,af,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,af,AF,AFN,
a8s6C0000004CDqQAM,false,de_LI,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,de,LI,CHF,
a8s6C0000004CDrQAM,false,ar_MA,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,MA,MAD,
a8s6C0000004CDsQAM,false,fr,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,fr,FR,EUR,
a8s6C0000004CDtQAM,false,nb_NO,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,NO,NOK,
a8s6C0000004CDuQAM,false,be_BY,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,BY,BYR,
a8s6C0000004CDvQAM,false,es_PR,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,es,PR,USD,
a8s6C0000004CDwQAM,false,es_GT,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,es,GT,GTQ,
a8s6C0000004CDxQAM,false,fr_LU,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,fr,LU,EUR,
a8s6C0000004CDyQAM,false,sq_AL,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,AL,ALL,
a8s6C0000004CDzQAM,false,fi_FI,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,FI,EUR,
a8s6C0000004CE0QAM,false,zh_MO,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,MO,MOP,
a8s6C0000004CE1QAM,false,ms_MY,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,MY,MYR,
a8s6C0000004CE2QAM,false,ar_LY,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,LY,LYD,
a8s6C0000004CE3QAM,false,ar_TN,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,TN,TND,
a8s6C0000004CE4QAM,false,zh_HK,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,HK,HKD,
a8s6C0000004CE5QAM,false,vi_VN,USD,00D6C0000000cYAUAY,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,0056C000000O3jNQAS,2016-12-26 16:46:50,,,en_US,VN,VND,
