id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,desc__c,enabled__c,label__c,value__c,
aA96C0000008QywSAE,false,global.MA.MO.apihist,USD,00D6C0000000cYAUAY,2017-02-09 15:52:22,0056C000000NfjOQAS,2017-02-09 15:52:22,0056C000000NfjOQAS,2017-02-09 15:52:22,,,,true,,FALSE,
aA96C0000008QzfSAE,false,Global.all.qo.clr,USD,00D6C0000000cYAUAY,2017-02-15 20:26:48,0056C000000NfjOQAS,2017-02-15 20:26:48,0056C000000NfjOQAS,2017-02-15 20:26:48,,,,true,,FALSE,
aA96C0000008QzgSAE,false,Global.ca.co.uselli,USD,00D6C0000000cYAUAY,2017-02-15 20:26:48,0056C000000NfjOQAS,2017-02-15 20:26:48,0056C000000NfjOQAS,2017-02-15 20:26:48,,,,true,,FALSE,
aA96C0000008QzhSAE,false,Global.ca.co.skpradj,USD,00D6C0000000cYAUAY,2017-02-15 20:26:48,0056C000000NfjOQAS,2017-02-15 20:26:48,0056C000000NfjOQAS,2017-02-15 20:26:48,,,,true,,TRUE,
aA96C0000008QziSAE,false,Global.co.co.addrso,USD,00D6C0000000cYAUAY,2017-02-15 20:26:48,0056C000000NfjOQAS,2017-02-15 20:26:48,0056C000000NfjOQAS,2017-02-15 20:26:48,,,,true,,TRUE,
aA96C0000008QzjSAE,false,Global.co.co.addrrq,USD,00D6C0000000cYAUAY,2017-02-15 20:26:48,0056C000000NfjOQAS,2017-02-15 20:26:48,0056C000000NfjOQAS,2017-02-15 20:26:48,,,,true,,TRUE,
aA96C0000008QzkSAE,false,Global.all.sel.mapenabled,USD,00D6C0000000cYAUAY,2017-02-15 20:26:48,0056C000000NfjOQAS,2017-02-15 20:26:48,0056C000000NfjOQAS,2017-02-15 20:26:48,,,,true,,TRUE,
aA96C0000008QzlSAE,false,Global.all.sel.listenabled,USD,00D6C0000000cYAUAY,2017-02-15 20:26:48,0056C000000NfjOQAS,2017-02-15 20:26:48,0056C000000NfjOQAS,2017-02-15 20:26:48,,,,true,,TRUE,
aA96C0000008QzmSAE,false,Global.all.sel.locationenabled,USD,00D6C0000000cYAUAY,2017-02-15 20:26:48,0056C000000NfjOQAS,2017-02-15 20:26:48,0056C000000NfjOQAS,2017-02-15 20:26:48,,,,true,,TRUE,
aA96C0000008QznSAE,false,Global.pdp.qo.enabled,USD,00D6C0000000cYAUAY,2017-02-15 20:26:48,0056C000000NfjOQAS,2017-02-15 20:26:48,0056C000000NfjOQAS,2017-02-15 20:26:48,,,,true,,FALSE,
