id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,classname__c,displayname__c,keyname__c,rtype__c,storefront__c,
a9Y6C0000004DTZUA2,false,RKStore:CatalogApi,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,c.cc_jci_hk_Catalog,,,,,
a9Y6C0000004DTaUAM,false,RKStore:CatalogDao,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,,,,,,
a9Y6C0000004DTbUAM,false,RKStore:CatalogService,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,,,,,,
a9Y6C0000004DTcUAM,false,RKStore:InventoryApi,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,cc_api_InventoryExtension,,,,,
a9Y6C0000004DTdUAM,false,RKStore:adjustService,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,,,,,,
a9Y6C0000004DTeUAM,false,RKStore:TaxCalculationApi,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,c.cc_jci_ctrl_TaxCalculation,,,,,
a9Y6C0000004DTfUAM,false,RKStore:DeliveryDateApi,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,c.cc_jci_api_DeliveryDate,,,,,
a9Y6C0000004DTgUAM,false,RKStore:shipService,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,cc_svc_ShippingAndHandlingGeneric,,,,,
a9Y6C0000004DThUAM,false,RKStore:prodQtyRuleAPI,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,cc_api_ProductQuantityRule,,,,,
a9Y6C0000004DTiUAM,false,RKStore:CartExtensionApi,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,c.cc_jci_ctrl_CartValidation,,,,,
a9Y6C0000004DTjUAM,false,RKStore:shipApi,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,c.cc_jci_ctrl_ShippingOptions,,,,,
a9Y6C0000004DTkUAM,false,RKStore:PymtHKService,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,,,,,,
a9Y6C0000004DTlUAM,false,RKStore:PricingApi,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,cc_hk_Pricing,,,,,
a9Y6C0000004DTmUAM,false,RKStore:PricingDao,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,,,,,,
a9Y6C0000004DTnUAM,false,RKStore:EffAccountDao,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,,,,,,
a9Y6C0000004DToUAM,false,RKStore:EffAccountService,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,,,,,,
a9Y6C0000004DTpUAM,false,RKStore:InvcHKApi,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,cc_hk_Invoice,,,,,
a9Y6C0000004DTqUAM,false,RKStore:InvcHKDao,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,,,,,,
a9Y6C0000004DTrUAM,false,RKStore:InvcHKService,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,,,,,,
a9Y6C0000004DTsUAM,false,RKStore:PymtHKApi,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,cc_hk_Payment,,,,,
a9Y6C0000004DTtUAM,false,RKStore:PymtHKDao,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,,,,,,
a9Y6C0000004DTuUAM,false,RKStore:SSOLoginService,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,,,,,,
a9Y6C0000004DTvUAM,false,RKStore:OutOrderCancelApi,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,cc_api_OutboundOrderCancel,,,,,
a9Y6C0000004DTwUAM,false,RKStore:PricingService,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,,,,,,
a9Y6C0000004DTxUAM,false,RKStore:shipDao,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,cc_dao_ShippingAndHandlingGeneric,,,,,
a9Y6C0000004DTyUAM,false,RKStore:OutOrderCancelDao,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,,,,,,
a9Y6C0000004DTzUAM,false,RKStore:OutOrderCancelService,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,,,,,,
a9Y6C0000004DU0UAM,false,RKStore:adjustApi,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,c.cc_jci_ctrl_CartPricing,,,,,
a9Y6C0000004DU1UAM,false,RKStore:DynThemeApi,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,cc_hk_DynamicTheme,,,,,
a9Y6C0000004DU2UAM,false,RKStore:DynThemeDao,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,,,,,,
a9Y6C0000004DU3UAM,false,RKStore:DynThemeService,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,,,,,,
a9Y6C0000004DU4UAM,false,RKStore:SUBSApi,USD,00D6C0000000cYAUAY,2016-12-27 18:25:13,0056C000000NfjOQAS,2017-01-24 11:31:39,0056C000000O3jSQAS,2017-01-24 11:31:39,,,cc_hk_Subscriptions,,,,,
