id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,label__c,
a956C0000008RHGQA2,false,F,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Footer,
a956C0000008RHHQA2,false,FP,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Featured products,
a956C0000008RHIQA2,false,FT,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Features,
a956C0000008RHJQA2,false,GA,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Google Analytics Include,
a956C0000008RHKQA2,false,H,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Header,
a956C0000008RHLQA2,false,js,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,JavaScript,
a956C0000008RHMQA2,false,LI,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,List Item,
a956C0000008RHNQA2,false,ARP,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Accessories Tab,
a956C0000008RHOQA2,false,OH,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Order History,
a956C0000008RHPQA2,false,nav,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,My Account Navigation Bar,
a956C0000008RHQQA2,false,srch,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Search/Filter Widget,
a956C0000008RHRQA2,false,shAct,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Show Actions Column,
a956C0000008RHSQA2,false,HIB,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Header Include Begin,
a956C0000008RHTQA2,false,HIE,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Header Include End,
a956C0000008RHUQA2,false,BdIB,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,HTML Body Include Begin,
a956C0000008RHVQA2,false,BdIE,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,HTML Body Include End,
a956C0000008RHWQA2,false,BN,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Banner,
a956C0000008RHXQA2,false,CO,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Checkout,
a956C0000008RHYQA2,false,FF,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Feature Filtering,
a956C0000008RHZQA2,false,AC,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Accessories,
a956C0000008RHaQAM,false,Dspl,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Field Display,
