id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,label__c,value__c,
aAA6C0000004HlCWAU,false,sellerlistpage,USD,00D6C0000000cYAUAY,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Seller List Page,SLP,
aAA6C0000004HlDWAU,false,sellerdetail,USD,00D6C0000000cYAUAY,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Seller Detail,SDP,
aAA6C0000004HlEWAU,false,checkout,USD,00D6C0000000cYAUAY,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Check Out,CO,
aAA6C0000004HZZWA2,false,ccbandwidthexceeded,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Bandwidth Exceeded,EX,
aAA6C0000004HZaWAM,false,ccchangepassword,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Change Password,PW,
aAA6C0000004HZbWAM,false,ccexception,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Exception,EX,
aAA6C0000004HZcWAM,false,ccfilenotfound,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,File Not Found,EX,
aAA6C0000004HZdWAM,false,ccforgotpassword,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Forgot Password,PW,
aAA6C0000004HZeWAM,false,ccforgotpasswordconfirm,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Forgot Password Confirm,PW,
aAA6C0000004HZfWAM,false,ccinmaintenance,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,In Maintenance,EX,
aAA6C0000004HZgWAM,false,ccsitelogin,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Site Login,PW,
aAA6C0000004HZhWAM,false,ccsiteregister,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Site Register,RG,
aAA6C0000004HZiWAM,false,ccsiteregisterconfirm,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Site Register Confirm,PW,
aAA6C0000004HZjWAM,false,ccunauthorized,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Unauthorized,EX,
aAA6C0000004HZkWAM,false,ccunderconstruction,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Under Construction,EX,
aAA6C0000004HZlWAM,false,checkoutnew,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Check Out,CO,
aAA6C0000004HZmWAM,false,homepage,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Home,HP,
aAA6C0000004HZnWAM,false,myaccount,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,My Account,MA,
aAA6C0000004HZoWAM,false,orderview,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Order View,O,
aAA6C0000004HZpWAM,false,productdetails,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Product Details,PDP,
aAA6C0000004HZqWAM,false,products,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Product List,PLP,
aAA6C0000004HZrWAM,false,orderconfirmation,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Order Confirmation,OrdCnfm,
aAA6C0000004HZsWAM,false,invoicedetail,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Invoice Detail,IVD,
aAA6C0000004HZtWAM,false,invoicepayment,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Invoice Payment,IVP,
aAA6C0000004HZuWAM,false,paymentdetail,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Payment Detail,PYD,
aAA6C0000004HZvWAM,false,subscriptiondetail,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Subscription Detail,SUBD,
aAA6C0000004HZwWAM,false,subscriptionpaymentmodify,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Subscription Payment Modify,SUBPM,
aAA6C0000004HZxWAM,false,cart,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Cart,CA,
aAA6C0000004HZyWAM,false,storedpaymentdetail,USD,00D6C0000000cYAUAY,2016-12-26 16:51:21,0056C000000O3jNQAS,2017-02-09 04:42:03,005G0000008TGZDIA4,2017-02-09 04:42:03,,,Stored Payment Detail,SPD,
