id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,currencysymbol__c,currency_name__c,displayformat__c,decimalpointchar__c,decimalpoints__c,storefront__c,thousandspointchar__c,default__c,
a8NG00000008PtEMAU,false,FKP,USD,00DG0000000hBllMAE,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,,,163,Falkland Islands Pound,{0}{1},comma,2.0,DefaultStore,ws,false,
a8NG00000008PtFMAU,false,FRF,USD,00DG0000000hBllMAE,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,,,8364,French franc,{1}{0},comma,2.0,DefaultStore,ws,false,
a8NG00000008PtGMAU,false,GBP,USD,00DG0000000hBllMAE,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,,,163,British Pound,{0}{1},dot,2.0,DefaultStore,comma,false,
a8NG00000008PtHMAU,false,GEL,USD,00DG0000000hBllMAE,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,,,163,Georgia Lari,{0}{1},comma,2.0,DefaultStore,ws,false,
a8NG00000008PtIMAU,false,GHS,USD,00DG0000000hBllMAE,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,,,162,Ghanian Cedi,{0}{1},comma,2.0,DefaultStore,ws,false,
a8NG00000008PtJMAU,false,GIP,USD,00DG0000000hBllMAE,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,,,163,Gibraltar Pound,{0}{1},dot,2.0,DefaultStore,comma,false,
a8NG00000008PtKMAU,false,GMD,USD,00DG0000000hBllMAE,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,,,163,Gambian Dalasi,{0}{1},comma,2.0,DefaultStore,ws,false,
a8NG00000008PtLMAU,false,GNF,USD,00DG0000000hBllMAE,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,,,163,Guinea Franc,{0}{1},comma,2.0,DefaultStore,ws,false,
a8NG00000008PtMMAU,false,GRD,USD,00DG0000000hBllMAE,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,,,8364,Greek Drachma,{0}{1},comma,2.0,DefaultStore,dot,false,
a8NG00000008PuCMAU,false,NAD,USD,00DG0000000hBllMAE,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,005G0000007ZLpxIAG,2016-06-16 00:38:17,,,36,Namibian Dollar,{0}{1},dot,2.0,DefaultStore,comma,false,
