id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,apiname__c,classname__c,daoname__c,servicename__c,
a8iG0000000Gmv0IAC,false,CHStore:SUBS,USD,00DG0000000hBllMAE,2016-06-23 00:39:58,005G0000008TGkfIAG,2016-06-23 00:39:58,005G0000008TGkfIAG,2016-06-23 00:39:58,,,CHStore:SUBSApi,cc_hlpr_SubscriptionsHKFactory,,,
a8iG0000000Gmv1IAC,false,IRStore:Catalog,USD,00DG0000000hBllMAE,2016-06-23 00:39:58,005G0000008TGkfIAG,2016-06-23 00:39:58,005G0000008TGkfIAG,2016-06-23 00:39:58,,,IRStore:CatalogApi,cc_hlpr_GenericHKFactory,IRStore:CatalogDao,IRStore:CatalogService,
a8iG0000000Gmv2IAC,false,DefaultStore:SSOLogin,USD,00DG0000000hBllMAE,2016-06-23 00:39:58,005G0000008TGkfIAG,2016-06-23 00:39:58,005G0000008TGkfIAG,2016-06-23 00:39:58,,,DefaultStore:SSOLoginApi,cc_hlpr_SSOHkFactory,DefaultStore:SSOLoginDao,DefaultStore:SSOLoginService,
a8iG0000000Gmv3IAC,false,IRStore:PrdQtyRl,USD,00DG0000000hBllMAE,2016-06-23 00:39:58,005G0000008TGkfIAG,2016-06-23 00:39:58,005G0000008TGkfIAG,2016-06-23 00:39:58,,,prodQtyRuleAPI,cc_hlpr_ProdQtyRuleFactory,,,
a8iG0000000Gmv4IAC,false,IRStore:SUBS,USD,00DG0000000hBllMAE,2016-06-23 00:39:58,005G0000008TGkfIAG,2016-06-23 00:39:58,005G0000008TGkfIAG,2016-06-23 00:39:58,,,IRStore:SUBSApi,cc_hlpr_SubscriptionsHKFactory,,,
a8iG0000000Gmv5IAC,false,IRStore:OrderHK,USD,00DG0000000hBllMAE,2016-06-23 00:39:58,005G0000008TGkfIAG,2016-07-20 02:04:16,005G0000008TGkfIAG,2016-07-20 02:04:16,,,IRStore:OrderHKApi,cc_hlpr_GenericHKFactory,IRStore:OrderHKDao,IRStore:OrderHKService,
a8iG0000000Gmv6IAC,false,IRStore:DynCat,USD,00DG0000000hBllMAE,2016-06-23 00:39:58,005G0000008TGkfIAG,2016-06-23 00:39:58,005G0000008TGkfIAG,2016-06-23 00:39:58,,,IRStore:DynCatApi,cc_hlpr_GenericHKFactory,IRStore:DynCatDao,IRStore:DynCatService,
a8iG0000000Gmv7IAC,false,IRStore:DynMenu,USD,00DG0000000hBllMAE,2016-06-23 00:39:58,005G0000008TGkfIAG,2016-06-23 00:39:58,005G0000008TGkfIAG,2016-06-23 00:39:58,,,IRStore:DynMenuApi,cc_hlpr_GenericHKFactory,IRStore:DynMenuDao,IRStore:DynMenuService,
a8iG0000000Gmv8IAC,false,IRStore:UsrItf,USD,00DG0000000hBllMAE,2016-06-23 00:39:58,005G0000008TGkfIAG,2016-06-23 00:39:58,005G0000008TGkfIAG,2016-06-23 00:39:58,,,IRStore:UsrItfApi,cc_hlpr_GenericHKFactory,IRStore:UsrItfDao,IRStore:UsrItfService,
a8iG0000000Gmv9IAC,false,IRStore:EffAccount,USD,00DG0000000hBllMAE,2016-06-23 00:39:58,005G0000008TGkfIAG,2016-10-15 02:01:40,005G0000007vFt7IAE,2016-10-15 02:01:40,,,IRStore:EffAccountApi,cc_hlpr_GenericHKFactory,IRStore:EffAccountDao,IRStore:EffAccountService,
