id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,browserlocale__c,countrycode__c,currency__c,
a8sG000000000PJIAY,false,es_PE,USD,00DG0000000hBllMAE,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,,,es,PE,PEN,
a8sG000000000PKIAY,false,es_HN,USD,00DG0000000hBllMAE,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,,,es,HN,HNL,
a8sG000000000PLIAY,false,es_PA,USD,00DG0000000hBllMAE,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,,,es,PA,PAB,
a8sG000000000PMIAY,false,ro_RO,USD,00DG0000000hBllMAE,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,,,en_US,RO,ROL,
a8sG000000000PNIAY,false,pt_PT,USD,00DG0000000hBllMAE,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,,,pt_PT,PT,EUR,
a8sG000000000POIAY,false,en_GB,USD,00DG0000000hBllMAE,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,,,en_US,GB,GBP,
a8sG000000000PPIAY,false,Ky_KG,USD,00DG0000000hBllMAE,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,,,en_US,KG,KGS,
a8sG000000000PQIAY,false,en_NZ,USD,00DG0000000hBllMAE,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,,,en_US,NZ,NZD,
a8sG000000000PRIAY,false,fr_MC,USD,00DG0000000hBllMAE,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,,,fr,MC,EUR,
a8sG000000000PSIAY,false,es_PY,USD,00DG0000000hBllMAE,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,,,es,PY,PYG,
a8sG000000000PTIAY,false,ar_MA,USD,00DG0000000hBllMAE,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,,,en_US,MA,MAD,
a8sG000000000PUIAY,false,fr,USD,00DG0000000hBllMAE,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,005G0000007ZLpxIAG,2016-06-16 00:38:23,,,fr,FR,EUR,
