id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,desc__c,enabled__c,label__c,value__c,
aA9G0000000Kz0MKAS,false,Wireframe.PLP.CS.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,TRUE,
aA9G0000000Kz0NKAS,false,Global.All.PD.DsplAvlb,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,TRUE,
aA9G0000000Kz0OKAS,false,Wireframe.All.CWL.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,FALSE,
aA9G0000000Kz0PKAS,false,Global.All.QO.UsePI,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,FALSE,
aA9G0000000Kz0QKAS,false,wireframe.CO.tmpl,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,cc_tmpl_Checkout,
aA9G0000000Kz0RKAS,false,Wireframe.PDP.css.010,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,css/style-simpletooltip-min.css,
aA9G0000000Kz0SKAS,false,Global.CO.OR.ShowReviewText,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,TRUE,
aA9G0000000Kz0TKAS,false,wireframe.PDP.PR.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,FALSE,
aA9G0000000Kz0UKAS,false,Wireframe.HP.PM.DsplMsg,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,,
aA9G0000000Kz1kKAC,false,wireframe.HP.MC.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,TRUE,
aA9G0000000Kz1lKAC,false,Wireframe.HPCT.PIName,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,cc_store_LeftNavIncl,
aA9G0000000Kz1mKAC,false,Global.All.PD.DsplViewDtl,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,TRUE,
aA9G0000000Kz1nKAC,false,HomepageQuickOrder,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,QuickOrder,
aA9G0000000Kz1oKAC,false,wireframe.HP.MC.NoDspl,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,,
aA9G0000000Kz1pKAC,false,Global.All.PD.DsplRDAddCart,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,FALSE,
aA9G0000000Kz1qKAC,false,Global.All.BC.PIName,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,,
aA9G0000000Kz1rKAC,false,wireframe.HP.H.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,TRUE,
aA9G0000000Kz3LKAS,false,wireframe.MA.UP.ShowCF2,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,TRUE,
aA9G0000000Kz3MKAS,false,wireframe.MA.UP.ShowCF1,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,TRUE,
aA9G0000000Kz3NKAS,false,Global.All.MC.NoDspl,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,,
aA9G0000000Kz3OKAS,false,Wireframe.PLP.tmpl,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,cc_tmpl_Catalog,
aA9G0000000Kz3PKAS,false,Global.All.PD.DsplSDesc,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,TRUE,
aA9G0000000Kz6PKAS,false,Global.All.H.DisplSearch,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,TRUE/FALSE: Display search bar in header,true,,TRUE,
aA9G0000000Kz6QKAS,false,Global.All.OR.ShCCEmail,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,TRUE/FALSE: Display email cc field in Order Review page,true,,FALSE,
aA9G0000000Kz6OKAS,false,Global.All.SB.Location,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,RIGHT/LEFT/NONE: Control display location of Search Widget,true,,RIGHT,
aA9G0000000Kz6RKAS,false,Global.All.C.pgRdCke,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,TRUE/FALSE: Whether or not to read the cart id cookie for anonymous carts on the front end page.,true,,FALSE,
aA9G0000000Kz6SKAS,false,Global.All.C.ctlRdCke,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,TRUE/FALSE: Whether or not to read the cart id cookie for anonymous carts on the back end controller.,true,,FALSE,
aA9G0000000Kz6TKAS,false,Global.ALL.HP.cache,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,TRUE/FALSE: Whether or not to enable cache on the controller for the Home Page,true,,TRUE,
aA9G0000000Kz6UKAS,false,Global.All.MA.filteff,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-10-15 02:12:32,005G0000007vFt7IAE,2016-10-15 02:12:32,,,Whether or not to filter account related items based on effective account,true,,TRUE,
aA9G0000000Kz6VKAS,false,Global.All.SPL.hptop,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,TRUE/FALSE: Show top splash rotation,true,,FALSE,
aA9G0000000Kz6WKAS,false,Global.All.reg.addlInf,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,TRUE/FALSE: Show additional Information,true,,TRUE,
aA9G0000000Kz8IKAS,false,CHStore.HP.tmpl.page,USD,00DG0000000hBllMAE,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-06-23 00:41:06,,,,true,,c__cc_jci_tmpl_ThreeCol,
aA9G0000000Kz8JKAS,false,IRStore.PDP.tmpl.page,USD,00DG0000000hBllMAE,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-06-23 00:41:06,,,,true,,c__cc_jci_tmpl_ThreeCol,
aA9G0000000Kz8KKAS,false,IRStore.MA.BIE.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-06-23 00:41:06,,,,true,,TRUE,
aA9G0000000Kz8MKAS,false,CHStore.MA.BIE.PIName,USD,00DG0000000hBllMAE,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-06-23 00:41:06,005G0000008TGkfIAG,2016-06-23 00:41:06,,,,true,,c__cc_jci_MyAccountContactInfoInclude,
