id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,classname__c,displayname__c,keyname__c,rtype__c,storefront__c,
a9YG0000000KypiMAC,false,CHStore:InvcHKService,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,,,,,,
a9YG0000000KypjMAC,false,CHStore:PymtHKApi,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,cc_hk_Payment,,,,,
a9YG0000000KypkMAC,false,CHStore:PymtHKDao,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,,,,,,
a9YG0000000KyrYMAS,false,DefaultStore:InvcHKDao,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,,,,,,
a9YG0000000KyrZMAS,false,DefaultStore:InvcHKService,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,,,,,,
a9YG0000000KyraMAC,false,DefaultStore:PymtHKApi,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,cc_hk_Payment,,,,,
a9YG0000000KyrbMAC,false,DefaultStore:PymtHKDao,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,,,,,,
a9YG0000000KyrcMAC,false,DefaultStore:PymtHKService,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,,,,,,
a9YG0000000KyrgMAC,false,CHStore:CatalogApi,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,c.cc_jci_hk_Catalog,,,,,
a9YG0000000KyrdMAC,false,DefaultStore:PricingApi,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,cc_hk_Pricing,,,,,
a9YG0000000KyreMAC,false,DefaultStore:PricingDao,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,,,,,,
a9YG0000000KyrfMAC,false,DefaultStore:PricingService,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,,,,,,
a9YG0000000KyrhMAC,false,CHStore:CatalogDao,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,,,,,,
a9YG0000000KyriMAC,false,CHStore:CatalogService,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,,,,,,
a9YG0000000KyplMAC,false,CHStore:PymtHKService,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,,,,,,
a9YG0000000KypmMAC,false,CHStore:PricingApi,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,cc_hk_Pricing,,,,,
a9YG0000000KyqPMAS,false,IRStore:adjustDao,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,,,,,,
a9YG0000000KyqQMAS,false,IRStore:outOrderApi,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,c.cc_jci_ctrl_SendOrderToERP,,,,,
a9YG0000000KyqRMAS,false,IRStore:outOrderDao,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,,,,,,
a9YG0000000KyqSMAS,false,IRStore:outOrderService,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,,,,,,
a9YG0000000KyqTMAS,false,CHStore:adjustDao,USD,00DG0000000hBllMAE,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,005G0000008TGkfIAG,2016-06-23 00:40:35,,,,,,,,
