id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,code__c,countrycode__c,state__c,
aABG0000000KyjbOAC,false,US_VT,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,VT,US,Vermont,
aABG0000000KyjcOAC,false,US_WI,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,WI,US,Wisconsin,
aABG0000000KyjdOAC,false,CA_ON,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,ON,CA,Ontario,
aABG0000000KyjeOAC,false,CA_PE,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,PE,CA,Prince Edward Island,
aABG0000000KyjfOAC,false,CA_QC,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,QC,CA,Quebec,
aABG0000000KyjgOAC,false,CA_SK,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,SK,CA,Saskatchewan,
aABG0000000KyjhOAC,false,CA_YT,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,YT,CA,Yukon,
aABG0000000KyjiOAC,false,CA_NU,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,NU,CA,Nunavut,
aABG0000000KyjjOAC,false,CA_NS,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,NS,CA,Nova Scotia,
aABG0000000KyjkOAC,false,CA_NT,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,NT,CA,Northwest Territories,
