id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,label__c,
a95G0000000L01pIAC,false,TM,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Top Menu,
a95G0000000L01qIAC,false,f,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Footer,
a95G0000000L01rIAC,false,EFF,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Effective Account,
a95G0000000L01sIAC,false,ui,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,User Interface,
a95G0000000L01tIAC,false,subs,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,My Subscriptions,
a95G0000000L01uIAC,false,addr,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Address Book,
a95G0000000L01vIAC,false,WLT,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,My Wallet,
a95G0000000L01wIAC,false,PM,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Promotions,
a95G0000000L01xIAC,false,PR,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Product Reviews,
a95G0000000L01yIAC,false,PS,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Product Social Widget,
a95G0000000L01zIAC,false,QO,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Quick Order,
a95G0000000L01AIAS,false,CWL,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Custom Widget Left Nav,
a95G0000000L01BIAS,false,F,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Footer,
a95G0000000L01CIAS,false,FP,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Featured products,
a95G0000000L01DIAS,false,FT,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Features,
a95G0000000L01EIAS,false,GA,USD,00DG0000000hBllMAE,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,005G0000008TGkfIAG,2016-06-23 00:41:56,,,Google Analytics Include,
