id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,label__c,value__c,
aAAG0000000HasVOAS,false,ccunderconstruction,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Under Construction,EX,
aAAG0000000HasWOAS,false,checkoutnew,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Check Out,CO,
aAAG0000000HasXOAS,false,homepage,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Home,HP,
aAAG0000000HasYOAS,false,myaccount,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,My Account,MA,
aAAG0000000HasZOAS,false,orderview,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Order View,O,
aAAG0000000HasaOAC,false,productdetails,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Product Details,PDP,
aAAG0000000HasbOAC,false,products,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Product List,PLP,
aAAG0000000HascOAC,false,orderconfirmation,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Order Confirmation,OrdCnfm,
aAAG0000000HasdOAC,false,invoicedetail,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Invoice Detail,IVD,
aAAG0000000HasfOAC,false,paymentdetail,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Payment Detail,PYD,
aAAG0000000HasgOAC,false,subscriptiondetail,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Subscription Detail,SUBD,
aAAG0000000HaseOAC,false,invoicepayment,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Invoice Payment,IVP,
aAAG0000000HashOAC,false,subscriptionpaymentmodify,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Subscription Payment Modify,SUBPM,
aAAG0000000HasiOAC,false,cart,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Cart,CA,
aAAG0000000HasjOAC,false,storedpaymentdetail,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Stored Payment Detail,SPD,
aAAG0000000HasKOAS,false,ccbandwidthexceeded,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Bandwidth Exceeded,EX,
aAAG0000000HasLOAS,false,ccchangepassword,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Change Password,PW,
aAAG0000000HasMOAS,false,ccexception,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Exception,EX,
aAAG0000000HasNOAS,false,ccfilenotfound,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,File Not Found,EX,
aAAG0000000HasOOAS,false,ccforgotpassword,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Forgot Password,PW,
aAAG0000000HasPOAS,false,ccforgotpasswordconfirm,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Forgot Password Confirm,PW,
aAAG0000000HasQOAS,false,ccinmaintenance,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,In Maintenance,EX,
aAAG0000000HasROAS,false,ccsitelogin,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Site Login,PW,
aAAG0000000HasSOAS,false,ccsiteregister,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Site Register,RG,
aAAG0000000HasTOAS,false,ccsiteregisterconfirm,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Site Register Confirm,PW,
aAAG0000000HasUOAS,false,ccunauthorized,USD,00DG0000000hBllMAE,2016-06-23 00:41:19,005G0000008TGkfIAG,2017-02-16 00:38:15,005G0000008TGZDIA4,2017-02-16 00:38:15,,,Unauthorized,EX,
