id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,currencysymbol__c,currency_name__c,displayformat__c,decimalpointchar__c,decimalpoints__c,storefront__c,thousandspointchar__c,default__c,
a8N3B000000Cb1TUAS,false,SHP,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,,,163,St Helena Pound,{0}{1},comma,2.0,DefaultStore,ws,false,
a8N3B000000Cb1UUAS,false,SLL,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,,,163,Sierra Leone Leone,{0}{1},comma,2.0,DefaultStore,ws,false,
a8N3B000000Cb1VUAS,false,HUF,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,,,"70, 116",Hungarian Forint,{0}{1},,0.0,DefaultStore,dot,false,
a8N3B000000Cb1WUAS,false,IDR,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,,,"82, 112",Indonesian Rupiah,{0}{1},comma,2.0,DefaultStore,dot,false,
a8N3B000000Cb1XUAS,false,SOS,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,,,83,Somali Shilling,{0}{1},comma,2.0,DefaultStore,ws,false,
a8N3B000000Cb1YUAS,false,SRD,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,,,36,Surinam Dollar,{0}{1},comma,2.0,DefaultStore,ws,false,
a8N3B000000Cb1ZUAS,false,STD,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,,,36,Sao Tome Dobra,{0}{1},comma,2.0,DefaultStore,ws,false,
a8N3B000000Cb1aUAC,false,SYP,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,,,163,Syrian Pound,{0}{1},comma,2.0,DefaultStore,ws,false,
a8N3B000000Cb1bUAC,false,SZL,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,,,163,Swaziland Lilageni,{0}{1},dot,2.0,DefaultStore,comma,false,
a8N3B000000Cb1cUAC,false,THB,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,0053B000000fTg9QAE,2017-03-01 16:28:18,,,3647,Thai Baht,{0}{1},dot,2.0,DefaultStore,comma,false,
