id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,apiname__c,classname__c,daoname__c,servicename__c,
a8i3B000000CdQcQAK,false,CHStore:InvcHK,USD,00D3B0000008ukZUAQ,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,,,CHStore:InvcHKApi,cc_hlpr_GenericHKFactory,CHStore:InvcHKDao,CHStore:InvcHKService,
a8i3B000000CdQdQAK,false,DefaultStore:Pricing,USD,00D3B0000008ukZUAQ,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,,,DefaultStore:PricingApi,cc_hlpr_GenericHKFactory,DefaultStore:PricingDao,DefaultStore:PricingService,
a8i3B000000CdQeQAK,false,DefaultStore:PrdQtyRl,USD,00D3B0000008ukZUAQ,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,,,DefaultStore:prodQtyRuleAPI,cc_hlpr_ProdQtyRuleFactory,,,
a8i3B000000CdQfQAK,false,IRStore:OutboundOrder,USD,00D3B0000008ukZUAQ,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,,,IRStore:outOrderApi,cc_hlpr_OutboundOrderSvcFactory,IRStore:outOrderDao,IRStore:outOrderService,
a8i3B000000CdQgQAK,false,IRStore:DeliveryDate,USD,00D3B0000008ukZUAQ,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,,,IRStore:DeliveryDateApi,cc_hlpr_DeliveryDateFactory,,,
a8i3B000000CdQhQAK,false,IRStore:ProductSyncFactory,USD,00D3B0000008ukZUAQ,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,,,IRStore:ProductSyncAPI,cc_svc_ProductSyncFactory,,IRStore:ProductSyncService,
a8i3B000000CdQiQAK,false,CHStore:PymtHK,USD,00D3B0000008ukZUAQ,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,,,CHStore:PymtHKApi,cc_hlpr_GenericHKFactory,CHStore:PymtHKDao,CHStore:PymtHKService,
a8i3B000000CdR3QAK,false,RKStore:DynCat,USD,00D3B0000008ukZUAQ,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,,,RKStore:DynCatApi,cc_hlpr_GenericHKFactory,RKStore:DynCatDao,RKStore:DynCatService,
a8i3B000000CdR4QAK,false,RKStore:DynMenu,USD,00D3B0000008ukZUAQ,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,,,RKStore:DynMenuApi,cc_hlpr_GenericHKFactory,RKStore:DynMenuDao,RKStore:DynMenuService,
a8i3B000000CdR5QAK,false,RKStore:UsrItf,USD,00D3B0000008ukZUAQ,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,,,RKStore:UsrItfApi,cc_hlpr_GenericHKFactory,RKStore:UsrItfDao,RKStore:UsrItfService,
a8i3B000000CdQ6QAK,false,DefaultStore:OrderHK,USD,00D3B0000008ukZUAQ,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,,,DefaultStore:OrderHKApi,cc_hlpr_GenericHKFactory,DefaultStore:OrderHKDao,DefaultStore:OrderHKService,
a8i3B000000CdQ7QAK,false,DefaultStore:DynCat,USD,00D3B0000008ukZUAQ,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,,,DefaultStore:DynCatApi,cc_hlpr_GenericHKFactory,DefaultStore:DynCatDao,DefaultStore:DynCatService,
a8i3B000000CdQ8QAK,false,DefaultStore:DynMenu,USD,00D3B0000008ukZUAQ,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,0053B000000fTg9QAE,2017-03-01 16:25:49,,,DefaultStore:DynMenuApi,cc_hlpr_GenericHKFactory,DefaultStore:DynMenuDao,DefaultStore:DynMenuService,
