id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,browserlocale__c,countrycode__c,currency__c,
a8s3B000000CmaaQAC,false,es_PE,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,es,PE,PEN,
a8s3B000000CmabQAC,false,es_HN,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,es,HN,HNL,
a8s3B000000CmacQAC,false,es_PA,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,es,PA,PAB,
a8s3B000000CmadQAC,false,ro_RO,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,en_US,RO,ROL,
a8s3B000000CmaeQAC,false,pt_PT,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,pt_PT,PT,EUR,
a8s3B000000CmafQAC,false,en_GB,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,en_US,GB,GBP,
a8s3B000000CmagQAC,false,Ky_KG,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,en_US,KG,KGS,
a8s3B000000CmahQAC,false,en_NZ,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,en_US,NZ,NZD,
a8s3B000000CmaiQAC,false,fr_MC,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,fr,MC,EUR,
a8s3B000000CmajQAC,false,es_PY,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,es,PY,PYG,
a8s3B000000CmakQAC,false,ar_MA,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,en_US,MA,MAD,
a8s3B000000CmalQAC,false,fr,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,fr,FR,EUR,
a8s3B000000CmauQAC,false,ms_MY,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,en_US,MY,MYR,
a8s3B000000CmavQAC,false,ar_LY,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,en_US,LY,LYD,
a8s3B000000CmawQAC,false,ar_TN,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,en_US,TN,TND,
a8s3B000000CmaxQAC,false,zh_HK,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,en_US,HK,HKD,
a8s3B000000CmayQAC,false,vi_VN,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,en_US,VN,VND,
a8s3B000000CmazQAC,false,ar_LB,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,en_US,LB,LBP,
a8s3B000000Cmb0QAC,false,gu_IN,USD,00D3B0000008ukZUAQ,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,0053B000000fTg9QAE,2017-03-01 16:28:36,,,en_US,IN,INR,
