id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,classname__c,displayname__c,keyname__c,rtype__c,storefront__c,
a9Y3B000000CcEzUAK,false,CHStore:InvcHKService,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcF0UAK,false,CHStore:PymtHKApi,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,cc_hk_Payment,,,,,
a9Y3B000000CcF1UAK,false,CHStore:PymtHKDao,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcF2UAK,false,DefaultStore:InvcHKDao,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcItUAK,false,RKStore:OrderHKApi,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,,,c.cc_jci_ctrl_ERPOrderHistory,,,,,
a9Y3B000000CcIuUAK,false,RKStore:OrderHKDao,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,,,,,,,,
a9Y3B000000CcIvUAK,false,RKStore:OrderHKService,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,,,,,,,,
a9Y3B000000CcIwUAK,false,RKStore:DynCatApi,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,,,cc_hk_Category,,,,,
a9Y3B000000CcJ6UAK,false,RKStore:DynMenuDao,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,,,,,,,,
a9Y3B000000CcJ7UAK,false,RKStore:DynMenuService,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,,,,,,,,
a9Y3B000000CcJ8UAK,false,RKStore:UsrItfApi,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,,,cc_hk_UserInterface:v001,,,,,
a9Y3B000000CcJ9UAK,false,RKStore:UsrItfDao,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,,,,,,,,
a9Y3B000000CcJAUA0,false,RKStore:UsrItfService,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,,,,,,,,
a9Y3B000000CcJBUA0,false,RKStore:EffAccountApi,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,0053B000000fTg9QAE,2017-03-01 16:26:22,,,c.cc_jci_ctrl_EffectiveAccount,,,,,
a9Y3B000000CcF3UAK,false,DefaultStore:InvcHKService,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcF4UAK,false,DefaultStore:PymtHKApi,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,cc_hk_Payment,,,,,
a9Y3B000000CcFxUAK,false,IRStore:TaxCalculationApi,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,c.cc_jci_ctrl_TaxCalculation,,,,,
a9Y3B000000CcFyUAK,false,CHStore:PricingService,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcFzUAK,false,DefaultStore:DynThemeApi,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,cc_hk_DynamicTheme,,,,,
a9Y3B000000CcG0UAK,false,DefaultStore:adjustApi,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,cc_api_PriceAdjustment,,,,,
a9Y3B000000CcG1UAK,false,DefaultStore:adjustDao,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcG2UAK,false,DefaultStore:adjustService,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcG3UAK,false,DefaultStore:DynThemeDao,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcG4UAK,false,DefaultStore:DynThemeService,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcG5UAK,false,DefaultStore:SUBSApi,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,cc_hk_Subscriptions,,,,,
a9Y3B000000CcG6UAK,false,DefaultStore:SUBSDao,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcFNUA0,false,CHStore:PricingDao,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcFOUA0,false,IRStore:PymtHKApi,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,cc_hk_Payment,,,,,
a9Y3B000000CcFPUA0,false,IRStore:PymtHKDao,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcFQUA0,false,CHStore:SSOLoginApi,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,c.cc_jci_ctrl_SSO,,,,,
a9Y3B000000CcFRUA0,false,CHStore:SSOLoginDao,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcFSUA0,false,IRStore:OutOrderCancelDao,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcGHUA0,false,DefaultStore:DynCatService,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,,,,,,
a9Y3B000000CcGIUA0,false,DefaultStore:DynMenuApi,USD,00D3B0000008ukZUAQ,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,0053B000000fTg9QAE,2017-03-01 16:26:20,,,cc_hk_Menu,,,,,
