id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,label__c,value__c,
aAA3B0000009InbWAE,false,ccunderconstruction,USD,00D3B0000008ukZUAQ,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,,,Under Construction,EX,
aAA3B0000009IncWAE,false,checkoutnew,USD,00D3B0000008ukZUAQ,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,,,Check Out,CO,
aAA3B0000009InnWAE,false,subscriptionpaymentmodify,USD,00D3B0000008ukZUAQ,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,,,Subscription Payment Modify,SUBPM,
aAA3B0000009InoWAE,false,cart,USD,00D3B0000008ukZUAQ,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,,,Cart,CA,
aAA3B0000009InpWAE,false,storedpaymentdetail,USD,00D3B0000008ukZUAQ,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,,,Stored Payment Detail,SPD,
aAA3B0000009InqWAE,false,ccbandwidthexceeded,USD,00D3B0000008ukZUAQ,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,,,Bandwidth Exceeded,EX,
aAA3B0000009InrWAE,false,ccchangepassword,USD,00D3B0000008ukZUAQ,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,,,Change Password,PW,
aAA3B0000009InsWAE,false,ccexception,USD,00D3B0000008ukZUAQ,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,,,Exception,EX,
aAA3B0000009IntWAE,false,ccfilenotfound,USD,00D3B0000008ukZUAQ,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,,,File Not Found,EX,
aAA3B0000009InuWAE,false,ccforgotpassword,USD,00D3B0000008ukZUAQ,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,0053B000000fTg9QAE,2017-03-01 16:24:26,,,Forgot Password,PW,
