id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,currencysymbol__c,currency_name__c,displayformat__c,decimalpointchar__c,decimalpoints__c,storefront__c,thousandspointchar__c,default__c,
a8N3B000000Cay6UAC,false,SOS,USD,00D3B0000008umVUAQ,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,,,83,Somali Shilling,{0}{1},comma,2.0,DefaultStore,ws,false,
a8N3B000000Cay7UAC,false,SRD,USD,00D3B0000008umVUAQ,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,,,36,Surinam Dollar,{0}{1},comma,2.0,DefaultStore,ws,false,
a8N3B000000Cay8UAC,false,STD,USD,00D3B0000008umVUAQ,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,,,36,Sao Tome Dobra,{0}{1},comma,2.0,DefaultStore,ws,false,
a8N3B000000Cay9UAC,false,SYP,USD,00D3B0000008umVUAQ,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,,,163,Syrian Pound,{0}{1},comma,2.0,DefaultStore,ws,false,
a8N3B000000CayeUAC,false,BOB,USD,00D3B0000008umVUAQ,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,,,"36, 98",Bolivian Boliviano,{0}{1},dot,2.0,DefaultStore,comma,false,
a8N3B000000CayfUAC,false,BOV,USD,00D3B0000008umVUAQ,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,,,"36, 98",Bolivia Mvdol,{0}{1},dot,2.0,DefaultStore,comma,false,
a8N3B000000CaygUAC,false,BRL,USD,00D3B0000008umVUAQ,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,,,"82, 36",Brazilian Real,{0}{1},comma,2.0,DefaultStore,dot,false,
a8N3B000000CayhUAC,false,BSD,USD,00D3B0000008umVUAQ,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,,,36,Bahamian Dollar,{0}{1},dot,2.0,DefaultStore,comma,false,
a8N3B000000CayiUAC,false,AED,USD,00D3B0000008umVUAQ,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,,,36,UAE Dirham,{0}{1},dot,2.0,DefaultStore,comma,false,
a8N3B000000CayjUAC,false,AFN,USD,00D3B0000008umVUAQ,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,,,1547,Afghani,{0}{1},dot,2.0,DefaultStore,comma,false,
a8N3B000000CaykUAC,false,ANG,USD,00D3B0000008umVUAQ,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,005G0000007ZFITIA4,2017-03-01 05:30:33,,,402,Neth Antilles Guilder,{0}{1},comma,2.0,DefaultStore,dot,false,
