id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,apiname__c,classname__c,daoname__c,servicename__c,
a8i3B000000CdNoQAK,false,CHStore:PriceAdjustment,USD,00D3B0000008umVUAQ,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,,,CHStore:adjustApi,cc_hlpr_PriceAdjustmentSvcFactory,CHStore:adjustDao,,
a8i3B000000CdNpQAK,false,CHStore:CartExtension,USD,00D3B0000008umVUAQ,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,,,CHStore:CartExtensionApi,cc_hlpr_CartExtensionApiFactory,,,
a8i3B000000CdNqQAK,false,CHStore:Catalog,USD,00D3B0000008umVUAQ,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,,,CHStore:CatalogApi,cc_hlpr_GenericHKFactory,CHStore:CatalogDao,,
a8i3B000000CdNrQAK,false,CHStore:DeliveryDate,USD,00D3B0000008umVUAQ,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,,,CHStore:DeliveryDateApi,cc_hlpr_DeliveryDateFactory,,,
a8i3B000000CdNsQAK,false,CHStore:DynCat,USD,00D3B0000008umVUAQ,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,,,CHStore:DynCatApi,cc_hlpr_GenericHKFactory,CHStore:DynCatDao,,
a8i3B000000CdNtQAK,false,CHStore:DynMenu,USD,00D3B0000008umVUAQ,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,,,CHStore:DynMenuApi,cc_hlpr_GenericHKFactory,CHStore:DynMenuDao,,
a8i3B000000CdNuQAK,false,CHStore:DynTheme,USD,00D3B0000008umVUAQ,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,,,CHStore:DynThemeApi,cc_hlpr_DynamicThemeHKFactory,CHStore:DynThemeDao,,
a8i3B000000CdNvQAK,false,CHStore:EffAccount,USD,00D3B0000008umVUAQ,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,,,CHStore:EffAccountApi,cc_hlpr_GenericHKFactory,CHStore:EffAccountDao,,
a8i3B000000CdNwQAK,false,CHStore:InvcHK,USD,00D3B0000008umVUAQ,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,,,CHStore:InvcHKApi,cc_hlpr_GenericHKFactory,CHStore:InvcHKDao,,
a8i3B000000CdOOQA0,false,IRStore:PricingSync,USD,00D3B0000008umVUAQ,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,,,IRStore:PricingSyncApi,,IRStore:PricingSyncDao,,
a8i3B000000CdOPQA0,false,IRStore:ProductSyncFactory,USD,00D3B0000008umVUAQ,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,005G0000007ZFITIA4,2017-03-01 08:43:50,,,IRStore:ProductSyncAPI,cc_svc_ProductSyncFactory,,,
