id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,browserlocale__c,countrycode__c,currency__c,
a8s3B000000CmYkQAK,false,cr,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,CG,XAF,
a8s3B000000CmYlQAK,false,en_JM,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,JM,JMD,
a8s3B000000CmYmQAK,false,ar_YE,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,YE,YER,
a8s3B000000CmYnQAK,false,lg,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,GH,GHC,
a8s3B000000CmYoQAK,false,mn_MN,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,MN,MNT,
a8s3B000000CmYpQAK,false,ch,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,ch,KM,KMF,
a8s3B000000CmYqQAK,false,es_DO,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,es,DO,DOP,
a8s3B000000CmYrQAK,false,sl_SI,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,SI,SIT,
a8s3B000000CmYsQAK,false,zh,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,CN,RMB,
a8s3B000000CmYtQAK,false,es_VE,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,es,VE,VEB,
a8s3B000000CmYuQAK,false,kk_KZ,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,KZ,KZT,
a8s3B000000CmYvQAK,false,en_US,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,US,USD,
a8s3B000000CmYwQAK,false,es_EC,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,es,EC,USD,
a8s3B000000CmYxQAK,false,bg_BG,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,BG,BGN,
a8s3B000000CmYyQAK,false,ru_RU,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,RU,RUB,
a8s3B000000CmYzQAK,false,div_MV,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,MV,MVR,
a8s3B000000CmZ0QAK,false,ar_OM,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,OM,OMR,
a8s3B000000CmZ1QAK,false,he_IL,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,IL,ILS,
a8s3B000000CmZ2QAK,false,en_AU,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,AU,AUD,
a8s3B000000CmZ3QAK,false,es_NI,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,es,NI,NIO,
a8s3B000000CmZ4QAK,false,en_CA,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,CA,CAD,
a8s3B000000CmZ5QAK,false,it,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,it,IT,EUR,
a8s3B000000CmZ6QAK,false,ko_KR,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,KR,KRW,
a8s3B000000CmZ7QAK,false,hr_HR,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,HR,HRK,
a8s3B000000CmZ8QAK,false,de_DE,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,de,DE,EUR,
a8s3B000000CmZ9QAK,false,ar_EG,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,EG,EGP,
a8s3B000000CmZAQA0,false,fr_FR,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,fr,FR,EUR,
a8s3B000000CmZBQA0,false,es_MX,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,es,MX,MXN,
a8s3B000000CmZCQA0,false,ka_GE,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,en_US,GE,GEL,
a8s3B000000CmZDQA0,false,es_UY,USD,00D3B0000008umVUAQ,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,005G0000007ZFITIA4,2017-03-01 05:32:08,,,es,UY,UYU,
