id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,classname__c,displayname__c,keyname__c,rtype__c,storefront__c,
a9Y3B000000CcD7UAK,false,DefaultStore:PymtHKService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcD8UAK,false,DefaultStore:SSOLoginApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_hk_SSO,,,,,
a9Y3B000000CcD9UAK,false,DefaultStore:SSOLoginDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcDAUA0,false,DefaultStore:SSOLoginService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcDBUA0,false,DefaultStore:SUBSApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_hk_Subscriptions,,,,,
a9Y3B000000CcDCUA0,false,DefaultStore:SUBSDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcDDUA0,false,DefaultStore:SUBSService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcDEUA0,false,DefaultStore:UsrItfApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_hk_UserInterface:v001,,,,,
a9Y3B000000CcDFUA0,false,DefaultStore:UsrItfDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcDGUA0,false,DefaultStore:UsrItfService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcBfUAK,false,ccServiceSubscPage:SPGE,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceSubscPage,,SPGE,sreg,,
a9Y3B000000CcBgUAK,false,ccServiceSubscription:SSUB,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceSubscription,,SSUB,sreg,,
a9Y3B000000CcBhUAK,false,ccServiceTerms:STRM,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceTerms,,STRM,sreg,,
a9Y3B000000CcBiUAK,false,ccServiceTransactionPayment:STP,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceTransactionPayment,,STP,sreg,,
a9Y3B000000CcBjUAK,false,ccServiceUser:SUSR,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceUser,,SUSR,sreg,,
a9Y3B000000CcBkUAK,false,CHStore:adjustApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,c.cc_jci_ctrl_CartPricing,,,,,
a9Y3B000000CcBlUAK,false,CHStore:adjustDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcDHUA0,false,IRStore:adjustApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,c.cc_jci_ctrl_CartPricing,,,,,
a9Y3B000000CcDIUA0,false,IRStore:adjustDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcDJUA0,false,IRStore:adjustService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcDKUA0,false,IRStore:CartExtensionApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,c.cc_jci_ctrl_CartValidation,,,,,
a9Y3B000000CcBmUAK,false,CHStore:adjustService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcBnUAK,false,CHStore:CartExtensionApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,c.cc_jci_ctrl_CartValidation,,,,,
a9Y3B000000CcBoUAK,false,CHStore:CatalogApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,c.cc_jci_hk_Catalog,,,,,
a9Y3B000000CcBpUAK,false,CHStore:CatalogDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcBqUAK,false,CHStore:CatalogService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcBrUAK,false,CHStore:DeliveryDateApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,c.cc_jci_api_DeliveryDate,,,,,
a9Y3B000000CcBsUAK,false,CHStore:DynCatApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_hk_Category,,,,,
a9Y3B000000CcBtUAK,false,CHStore:DynCatDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcBuUAK,false,CHStore:DynCatService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
