id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,code__c,countrycode__c,state__c,
aAB3B0000009q7ZWAQ,false,US_IL,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,IL,US,Illinois,
aAB3B0000009q7aWAA,false,US_IN,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,IN,US,Indiana,
aAB3B0000009q7bWAA,false,US_IA,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,IA,US,Iowa,
aAB3B0000009q7cWAA,false,US_KS,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,KS,US,Kansas,
aAB3B0000009q7dWAA,false,US_KY,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,KY,US,Kentucky,
aAB3B0000009q7eWAA,false,US_LA,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,LA,US,Louisiana,
aAB3B0000009q7fWAA,false,US_ME,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,ME,US,Maine,
aAB3B0000009q7gWAA,false,US_MD,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,MD,US,Maryland,
aAB3B0000009q7hWAA,false,US_MA,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,MA,US,Massachusetts,
aAB3B0000009q7iWAA,false,US_MI,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,MI,US,Michigan,
aAB3B0000009q7jWAA,false,US_MN,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,MN,US,Minnesota,
aAB3B0000009q7kWAA,false,US_MS,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,MS,US,Mississippi,
aAB3B0000009q7lWAA,false,US_MO,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,MO,US,Missouri,
aAB3B0000009q7mWAA,false,US_MT,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,MT,US,Montana,
aAB3B0000009q7nWAA,false,US_NE,USD,00D3B0000008umVUAQ,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,005G0000007ZFITIA4,2017-03-01 05:35:57,,,NE,US,Nebraska,
