id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,label__c,
a953B000000CadAQAS,false,HIB,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Header Include Begin,
a953B000000CadBQAS,false,HIE,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Header Include End,
a953B000000CadCQAS,false,BdIB,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,HTML Body Include Begin,
a953B000000CadDQAS,false,BdIE,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,HTML Body Include End,
a953B000000CadEQAS,false,BN,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Banner,
a953B000000CadFQAS,false,CO,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Checkout,
a953B000000CadGQAS,false,FF,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Feature Filtering,
a953B000000CadHQAS,false,AC,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Accessories,
a953B000000CadIQAS,false,BC,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Breadcrumb,
a953B000000CadJQAS,false,C,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Cart,
a953B000000CadKQAS,false,CF,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Confirmation,
a953B000000CadLQAS,false,CS,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Cross-sells,
a953B000000CadMQAS,false,CSW,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Company Social Widget,
a953B000000CadNQAS,false,SO,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Shipping Options,
a953B000000CadOQAS,false,UP,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,User Profile,
a953B000000CadPQAS,false,PayShip,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Payment Shipping,
a953B000000CadQQAS,false,SB,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Search Box,
a953B000000CadRQAS,false,WL,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Wishlists/Templates,
a953B000000CadSQAS,false,Dspl,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Field Display,
a953B000000CadTQAS,false,SPL,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Splash,
a953B000000CadUQAS,false,LIST,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,List,
a953B000000CadVQAS,false,MC,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Mini-cart,
a953B000000CadWQAS,false,OR,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Order Review,
a953B000000CadXQAS,false,PDA,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Product Detail attributes,
a953B000000CadYQAS,false,PDP,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Product Detail Page,
a953B000000CadZQAS,false,MSG,USD,00D3B0000008umVUAQ,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,005G0000007ZFITIA4,2017-03-01 05:33:53,,,Messages,
