id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,label__c,value__c,
aAA3B0000009In8WAE,false,sellerlistpage,USD,00D3B0000008umVUAQ,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,,,Seller List Page,SLP,
aAA3B0000009In9WAE,false,sellerdetail,USD,00D3B0000008umVUAQ,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,,,Seller Detail,SDP,
aAA3B0000009InAWAU,false,checkout,USD,00D3B0000008umVUAQ,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,,,Check Out,CO,
aAA3B0000009InBWAU,false,ccbandwidthexceeded,USD,00D3B0000008umVUAQ,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,,,Bandwidth Exceeded,EX,
aAA3B0000009InCWAU,false,ccchangepassword,USD,00D3B0000008umVUAQ,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,,,Change Password,PW,
aAA3B0000009InDWAU,false,ccexception,USD,00D3B0000008umVUAQ,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,,,Exception,EX,
aAA3B0000009InEWAU,false,ccfilenotfound,USD,00D3B0000008umVUAQ,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,,,File Not Found,EX,
aAA3B0000009InFWAU,false,ccforgotpassword,USD,00D3B0000008umVUAQ,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,,,Forgot Password,PW,
aAA3B0000009InGWAU,false,ccforgotpasswordconfirm,USD,00D3B0000008umVUAQ,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,,,Forgot Password Confirm,PW,
aAA3B0000009InHWAU,false,ccinmaintenance,USD,00D3B0000008umVUAQ,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,,,In Maintenance,EX,
aAA3B0000009InIWAU,false,ccsitelogin,USD,00D3B0000008umVUAQ,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,,,Site Login,PW,
aAA3B0000009InJWAU,false,ccsiteregister,USD,00D3B0000008umVUAQ,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,005G0000007ZFITIA4,2017-03-01 05:33:38,,,Site Register,RG,
